pk,한국어 자세이름,시작시간(좌측유튭영상),끝나는시간(좌측유튭영상),6분류,유튜브 키
1,활 쏘는 자세,1,60,앉아서,
2,회전 자세,5,36,앉아서,Zya3rTu4Ycs
3,배 자세,1,60,코어,xFh6hc_Bwig
4,나비 자세,0,40,앉아서,m3hXc0jeVgI
5,활 자세,1,60,코어,_8HfPNbQD2o
6,다리 자세,5,58,코어,F742-7FcunQ
7,낙타 자세,1,60,코어,M8JbuB5wCG8
8,고양이 자세,0,62,코어,wiqRG98bE8U
9,의자 자세,5,30,서서,SzoEjquXxIg
10,아기 자세,0,60,누워서,AGHPrUX_Z7Q
11,코브라 자세,1,60,누워서,Jdv5GzbCqSE
12,수탉 자세,10,47,밸런스,CSix_W__SZ8
13,송장 자세,17,75,누워서,Ks0aFl61TeA
14,소머리 자세,1,60,앉아서,ZKSE6JEM4vk
15,까마귀 자세,1,60,밸런스,PUHvjdalcCQ
16,돌고래 플랭크,0,26,누워서,98FVbpHw8RU
17,돌고래 자세,0,78,서서,7u2C9k2ZJ3U
18,다운독 자세,0,60,서서,eu0Pt5ODfRg
19,독수리 자세,1,60,서서,RF8AlanLT6g
20,팔각자세,8,54,밸런스,JsXF66TVBd0
21,강아지 자세,0,60,누워서,nDwvXxlGvX0
22,상체 측면 기울이기 자세,1,60,서서,kCy3W8zK3II
23,삼각 자세,1,60,서서,1zp9FI0HdNc
24,공작 깃털 자세,443,645,팔,0edMknxnZ7M
25,티티바아사나,325,487,밸런스,JN4EUuDkphc
26,물고기자세,1,60,누워서,WUQXeXhCvgs
27,차투랑가 단다사나,40,107,누워서,mQMB5OmlwkI
28,개구리 자세,0,120,누워서,K2QimPsO8zw
29,말리아사나,8,97,앉아서,o0TnT4cnz5E
30,빗장 자세,204,260,서서,yhrwbYM7kA
31,반 물고기 신 자세,0,43,앉아서,PxKjYlsQLyA
32,반달 자세,1,60,서서,fg_7RzNnr9Q
33,물구나무서기 자세,1604,1650,팔,RBclxkTPtAI
34,행복한 아기 자세,15,85,누워서,h4qVP2Nhx8E
35,한다리 뻗고 앞으로 숙이기 자세,16,60,앉아서,3XrEUPk8lFE
36,왜가리 자세,32,77,앉아서,o1bt9ZU8HRk
37,피라미드 비틀기 자세,33,115,서서,hA_m1TE9PMk
38,벽에 다리 올리기 자세,27,39,팔,EezSKAMACBU
39,메뚜기 자세,0,60,누워서,tGgOl53hbnc
40,선 활 자세,0,60,서서,5VLgjGEhgo4
41,로우 런지 자세,4,60,서서,zaongQlYTto
42,올가미 자세,27,59,앉아서,a3gCdv1kqgs
43,공작 자세,15,50,누워서,0OXvh94jv5Q
44,비둘기 자세,441,448,코어,Fbs74j542Eo
45,판자 자세,9,93,누워서,T_ylsr0vy-s
46,쟁기 자세,0,28,팔,guM2w_i55Vw
47,현인 코운딘야 자세,59,108,밸런스,j9nAzeSJno
48,왕 비둘기 자세,3,60,앉아서,0AwkWyWVT4A
49,누워서 엄지발가락 잡기 자세,18,77,누워서,AGae_Wf5HHc
50,무릎 향해 옆으로 머리 닿기 자세,0,72,앉아서,9KzQAUjK3aI
51,저울 자세,10,37,밸런스,VENTUNOYOGA
52,전갈 자세,2,70,팔,0kZCqOGhTE0
53,앞으로 굽히기 자세,5,95,앉아서,1mwwxcMDDy8
54,어깨 누르기 자세,6,47,밸런스,k6K0-KAMKcg
55,잠자는 비슈누 자세,96,140,누워서,lNxfdoQp27Y
56,옆 까마귀 자세,6,32,밸런스,Mc6D2OrMTX0
57,사이드 플랭크자세,0,50,누워서,8GSS_7Q7G9A
58,결가부좌,13,90,앉아서,4jB8fPcnn6E
59,원숭이 지세,1,60,앉아서,0cyef2bhTcI
60,스태프 자세,10,40,앉아서,g9zt9Vx6WBo
61,선 전굴 자세,1,60,서서,5SXrKW2kCQU
62,서서 다리 찢기,3,43,서서,cqZUJP9KNuc
63,파당구스타아사나,286,354,서서,kCKmBZIpZhk
64,헤드 스텐드 자세,20,116,팔,VrenTA2IFjI
65,어깨 서기 자세,12,60,팔,UjHTOW9x3WM
66,누운 나비 자세,13,42,누워서,dQkBuNWxZK4
67,늘어난 누운 영웅자세,3,60,누워서,stfsBLCoYAM
68,거북이 자세,17,55,앉아서,3LbDBwaTE7E
69,나무 자세,1,60,서서,JDVErq3NedU
70,활/아치 자세,1,60,코어,IM3BcdMqmkw
71,드위파다 비파리타 단다아사나,1,37,코어,03lvoqe2r5Q
72,구름다리 자세,4,54,코어,r8UJhBwGw
73,영웅 자세,1,60,앉아서,HfW4fmqf0K8
74,전사 자세3,8,50,서서,pqyzzRHzpzw
75,전사 자세2,1,60,서서,v6hBCsd3mNc
76,전사 자세1,1,60,서서,shZct_lD4mQ
77,박쥐 자세,1,60,앉아서,b6uUtTGwuWg
78,다리 넓게 벌린 전굴 자세,0,100,서서,xO65_FHbEr0
79,와일드 씽 자세,1,60,코어,vP13BqLSPno
80,바람빼기 자세,1,60,누워서,fFqXrxT_HJI
81,역전사 자세,16,38,서서,DfvDLty5vao
82,요기의 잠자는 자세,8,48,누워서,XkenasQvPUo
